home_team_goal,away_team_goal,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribbling,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribbling,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass
1,3,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
1,1,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
4,0,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
1,2,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
0,0,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover
2,1,70,Fast,,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
1,3,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
3,0,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
2,1,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,55,Balanced,,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover
0,2,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover
2,4,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,70,Fast,,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover
1,0,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
1,2,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
1,0,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
1,0,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover
1,2,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
0,1,70,Fast,,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover,70,Fast,,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover
0,5,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover
5,1,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover
2,1,55,Balanced,,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
1,1,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
3,1,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover
0,1,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover
0,1,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
3,1,70,Fast,,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover,55,Balanced,,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover
1,1,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover
0,0,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover
3,0,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover
4,1,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
1,2,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
2,2,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
4,0,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
1,2,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
4,1,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
1,0,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover
3,1,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
2,0,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
2,2,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
1,1,55,Balanced,,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover
3,2,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover
2,0,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
1,2,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover,70,Fast,,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover
2,1,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover
1,2,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover
3,0,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
3,0,70,Fast,,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
2,0,70,Fast,,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
0,4,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover
0,1,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
0,0,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
2,0,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover
7,1,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover
0,1,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,55,Balanced,,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover
1,1,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
3,1,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover
2,0,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover
0,0,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,55,Balanced,,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover
1,2,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover
2,1,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
2,2,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
1,6,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,70,Fast,,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover
0,1,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover
1,1,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover
1,0,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
1,0,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
0,0,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
0,0,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
2,1,70,Fast,,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
